address,elementary_school_link,elementary_school_name,elementary_school_rating,estimated_monthly_cost,high_school_link,high_school_name,high_school_rating,hoa_fees,home_details_link,listing_provider_name,listing_provider_phone,middle_school_link,middle_school_name,middle_school_rating,number_of_bathrooms,number_of_bedrooms,price,property_taxes_last_year,property_taxes_monthly,sqft,type,zestimate_rent_price,zestimate_sell_price
"House for sale, 12065 E Wethersfield Dr, Scottsdale, AZ 85259, $1,295,000",https://www.greatschools.org/school?id=00390&state=AZ,Anasazi Elementary School,10,"$6,144",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$156/mo,https://www.zillow.com/homedetails/12065-E-Wethersfield-Dr-Scottsdale-AZ-85259/8046353_zpid/,Jim Steimer? The Steimer Team,(480) 948-9450,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,3.5,4,"$1,295,000","$7,469",$734/mo,"3,624",House for sale,"$5,900","$1,273,578"
"House for sale, 7521 E Becker Ln, Scottsdale, AZ 85260, $599,900",,,,,,,,,https://www.zillow.com/homedetails/7521-E-Becker-Ln-Scottsdale-AZ-85260/7864976_zpid/,,,,,,2.5,3,"$599,900",,,"2,616",House for sale,,
"House for sale, 7525 E Gainey Ranch Rd UNIT 183, Scottsdale, AZ 85258, $730,000",,,,,,,,,https://www.zillow.com/homedetails/7525-E-Gainey-Ranch-Rd-UNIT-183-Scottsdale-AZ-85258/7867372_zpid/,,,,,,2,2,"$730,000",,,"1,937",House for sale,,
"Apartment for sale, 920 N 82nd St APT H205, Scottsdale, AZ 85257, $63,900",https://www.greatschools.org/school?id=01283&state=AZ,Tonalea Elementary School,3,$520,https://www.greatschools.org/school?id=00552&state=AZ,Coronado High School,,$197/mo,https://www.zillow.com/homedetails/920-N-82nd-St-APT-H205-Scottsdale-AZ-85257/2081462134_zpid/,Janice G Galvin,(480) 820-3333,https://www.greatschools.org/school?id=00552&state=AZ,Coronado High School,3,1,Studio,"$63,900",,$36/mo,530,Apartment for sale,,
"Apartment for sale, 9340 N 92nd St UNIT 209, Scottsdale, AZ 85258, $249,900",https://www.greatschools.org/school?id=00883&state=AZ,Laguna Elementary School,8,"$1,406",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$241/mo,https://www.zillow.com/homedetails/9340-N-92nd-St-UNIT-209-Scottsdale-AZ-85258/8055783_zpid/,Rick Metcalfe,(480) 759-2242,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,2,2,"$249,900","$1,022",$142/mo,"1,155",Apartment for sale,"$1,550","$246,931"
"House for sale, 7770 E Gainey Ranch Rd UNIT 5, Scottsdale, AZ 85258, $1,295,000",https://www.greatschools.org/school?id=00539&state=AZ,Cochise Elementary School,10,"$6,263",https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,8,$275/mo,https://www.zillow.com/homedetails/7770-E-Gainey-Ranch-Rd-UNIT-5-Scottsdale-AZ-85258/7867621_zpid/,sue shapiro,(602) 809-9242,https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,9,3,3,"$1,295,000","$5,718",$734/mo,"2,749",House for sale,"$4,900/mo","$1,240,693"
"House for sale, 6624 E 1st Ave, Scottsdale, AZ 85251, $723,000",https://www.greatschools.org/school?id=01257&state=AZ,Tavan Elementary School,5,"$3,343",https://www.greatschools.org/school?id=00804&state=AZ,Ingleside Middle School,6,$0/mo,https://www.zillow.com/homedetails/6624-E-1st-Ave-Scottsdale-AZ-85251/7572224_zpid/,Brian Everroad,(480) 443-7400,https://www.greatschools.org/school?id=00804&state=AZ,Ingleside Middle School,7,3,4,"$723,000","$1,484",$410/mo,"2,056",House for sale,"$2,600/mo","$711,115"
"House for sale, 7841 E Shooting Star Way, Scottsdale, AZ 85266, $837,000",https://www.greatschools.org/school?id=00454&state=AZ,Black Mountain Elementary School,9,"$4,000",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$130/mo,https://www.zillow.com/homedetails/7841-E-Shooting-Star-Way-Scottsdale-AZ-85266/8034381_zpid/,Christine Williams,(480) 488-2998,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,9,4.5,4,"$837,000","$3,347",$474/mo,"2,736",House for sale,"$4,200/mo","$821,781"
"House for sale, 10792 E La Junta Rd # 49, Scottsdale, AZ 85255, $2,175,000",,,,,,,,,https://www.zillow.com/homedetails/10792-E-La-Junta-Rd-49-Scottsdale-AZ-85255/2122889895_zpid/,,,,,,7,6,"$2,175,000",,,"7,279",House for sale,,
"House for sale, 21297 N 110th Way, Scottsdale, AZ 85255, $9,750,000",https://www.greatschools.org/school?id=02777&state=AZ,Copper Ridge School,8,"$45,397",https://www.greatschools.org/school?id=00524&state=AZ,Chaparral High School,,$314/mo,https://www.zillow.com/homedetails/21297-N-110th-Way-Scottsdale-AZ-85255/82819612_zpid/,Mike Domer Top Agent,(480) 909-4577,https://www.greatschools.org/school?id=00524&state=AZ,Chaparral High School,7,8,5,"$9,750,000","$52,542","$5,525/mo","14,313",House for sale,"$8,500/mo","$9,562,499"
"House for sale, 9793 E Falling Star Dr # 286, Scottsdale, AZ 85262, $4,250,000",https://www.greatschools.org/school?id=00454&state=AZ,Black Mountain Elementary School,9,"$19,651",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$0/mo,https://www.zillow.com/homedetails/9793-E-Falling-Star-Dr-286-Scottsdale-AZ-85262/2081472663_zpid/,Keith Marshall,,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,9,6,5,"$4,250,000",,"$2,408/mo","8,015",House for sale,,"$4,119,230"
"House for sale, 5631 E Edgemont Ave, Scottsdale, AZ 85257, $830,000",https://www.greatschools.org/school?id=00754&state=AZ,Griffith Elementary School,2,"$3,838",https://www.greatschools.org/school?id=07005&state=AZ,Phoenix Coding Academy,,$0/mo,https://www.zillow.com/homedetails/5631-E-Edgemont-Ave-Scottsdale-AZ-85257/7571149_zpid/,Pamm Seago-Peterlin,(480) 756-2121,https://www.greatschools.org/school?id=07005&state=AZ,Phoenix Coding Academy,7,3,4,"$830,000","$3,857",$470/mo,"3,008",House for sale,"$3,400","$816,132"
"Condo for sale, 4630 N 68th St UNIT 232, Scottsdale, AZ 85251, $219,900",,,,,,,,,https://www.zillow.com/homedetails/4630-N-68th-St-UNIT-232-Scottsdale-AZ-85251/7844970_zpid/,,,,,,2,2,"$219,900",,,986,Condo for sale,,
"Townhouse for sale, 19700 N 76th St APT 1155, Scottsdale, AZ 85255, $399,000",https://www.greatschools.org/school?id=00746&state=AZ,Grayhawk Elementary School,10,"$2,154",https://www.greatschools.org/school?id=02893&state=AZ,Mountain Trail Middle School,8,$302/mo,https://www.zillow.com/homedetails/19700-N-76th-St-APT-1155-Scottsdale-AZ-85255/60048913_zpid/,Gina Gullquist,(602) 230-7600,https://www.greatschools.org/school?id=02893&state=AZ,Mountain Trail Middle School,8,2,3,"$399,000","$2,877",$226/mo,"1,729",Townhouse for sale,"$2,150","$393,299"
"House for sale, 5804 N Scottsdale Rd, Paradise Valley, AZ 85253, $525,000",https://www.greatschools.org/school?id=00857&state=AZ,Kiva Elementary School,10,"$2,686",https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,$249/mo,https://www.zillow.com/homedetails/5804-N-Scottsdale-Rd-Paradise-Valley-AZ-85253/7840772_zpid/,James Kuttner,(623) 643-1000,https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,2,2,"$525,000","$1,549",$298/mo,"1,500",House for sale,"$2,250/mo","$521,174"
"House for sale, 25295 N 93rd Way, Scottsdale, AZ 85255, $1,450,000",https://www.greatschools.org/school?id=00598&state=AZ,Desert Sun Academy,6,"$6,746",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$41/mo,https://www.zillow.com/homedetails/25295-N-93rd-Way-Scottsdale-AZ-85255/8040920_zpid/,Thomas Patrick O'Leary,,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,4,3,"$1,450,000","$5,953",$822/mo,"4,209",House for sale,"$4,500","$1,422,384"
"House for sale, 8725 E San Felipe Dr, Scottsdale, AZ 85258, $1,200,000",https://www.greatschools.org/school?id=00539&state=AZ,Cochise Elementary School,10,"$5,567",https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,8,$18/mo,https://www.zillow.com/homedetails/8725-E-San-Felipe-Dr-Scottsdale-AZ-85258/7853670_zpid/,Melanie Hunsaker,(602) 809-3000,https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,9,3,4,"$1,200,000","$3,255",$680/mo,"3,173",House for sale,"$3,499/mo","$1,148,201"
"Townhouse for sale, 5021 N 83rd St, Scottsdale, AZ 85250, $359,900",https://www.greatschools.org/school?id=01021&state=AZ,Navajo Elementary School,6,"$1,927",https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,$257/mo,https://www.zillow.com/homedetails/5021-N-83rd-St-Scottsdale-AZ-85250/7843028_zpid/,Rich Baxter,(480) 948-9450,https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,2.5,3,"$359,900","$1,286",$204/mo,"1,752",Townhouse for sale,"$2,045","$343,163"
"House for sale, 9669 E Ironwood Dr, Scottsdale, AZ 85258, $799,000",https://www.greatschools.org/school?id=00883&state=AZ,Laguna Elementary School,8,"$3,725",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$31/mo,https://www.zillow.com/homedetails/9669-E-Ironwood-Dr-Scottsdale-AZ-85258/8055045_zpid/,Lauren Rosin,(602) 942-4200,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,2.5,4,"$799,000","$3,516",$453/mo,"2,940",House for sale,"$3,300","$779,368"
"House for sale, 5101 N Casa Blanca Dr # 309, Paradise Valley, AZ 85253, $1,100,000",https://www.greatschools.org/school?id=00857&state=AZ,Kiva Elementary School,10,"$5,681",https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,$595/mo,https://www.zillow.com/homedetails/5101-N-Casa-Blanca-Dr-309-Paradise-Valley-AZ-85253/7841527_zpid/,Stephanie Altdoerffer,(480) 948-4711,https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,7,3.5,3,"$1,100,000","$6,571",$623/mo,"2,647",House for sale,"$4,800","$1,061,176"
"House for sale, 24963 N 74th Pl, Scottsdale, AZ 85255, $447,000",https://www.greatschools.org/school?id=02898&state=AZ,Pinnacle Peak Elementary School,8,"$2,099",https://www.greatschools.org/school?id=02893&state=AZ,Mountain Trail Middle School,8,$24/mo,https://www.zillow.com/homedetails/24963-N-74th-Pl-Scottsdale-AZ-85255/7982957_zpid/,Opendoor Homes,(480) 351-6622,https://www.greatschools.org/school?id=02893&state=AZ,Mountain Trail Middle School,7,2,3,"$447,000","$3,299",$253/mo,"1,846",House for sale,"$2,350/mo","$442,343"
"New construction, 28021 N 165th St, Scottsdale, AZ, $409,900",https://www.greatschools.org/school?id=00598&state=AZ,Desert Sun Academy,7,"$1,902",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$0/mo,https://www.zillow.com/homedetails/28021-N-165th-St-Scottsdale-AZ-85262/2085205359_zpid/,Michael Cunningham,(480) 820-3333,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,9,2,4,"$409,900",,$232/mo,"2,331",New construction,"$2,300","$398,190"
"House for sale, 7429 E Almeria Rd, Scottsdale, AZ 85257, $425,000",https://www.greatschools.org/school?id=01103&state=AZ,Pima Elementary School,7,"$1,972",https://www.greatschools.org/school?id=01283&state=AZ,Tonalea Elementary School,3,$0/mo,https://www.zillow.com/homedetails/7429-E-Almeria-Rd-Scottsdale-AZ-85257/7579505_zpid/,Lauren Rosin,(602) 942-4200,https://www.greatschools.org/school?id=01283&state=AZ,Tonalea Elementary School,3,2,4,"$425,000","$1,214",$241/mo,"1,800",House for sale,"$1,995/mo","$420,474"
"Auction, 6546 E 6th St, Scottsdale, AZ 85251, $385,671",https://www.greatschools.org/school?id=01257&state=AZ,Tavan Elementary School,5,,https://www.greatschools.org/school?id=00804&state=AZ,Ingleside Middle School,6,,https://www.zillow.com/homedetails/6546-E-6th-St-Scottsdale-AZ-85251/7572476_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=00804&state=AZ,Ingleside Middle School,8,2,3,"$385,671","$1,471",,"1,641",Auction,"$2,200/mo","$454,232"
"House for sale, 34506 N 99th St, Scottsdale, AZ 85262, $725,000",https://www.greatschools.org/school?id=00598&state=AZ,Desert Sun Academy,7,"$3,424",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$72/mo,https://www.zillow.com/homedetails/34506-N-99th-St-Scottsdale-AZ-85262/8033574_zpid/,Tim McShane,(480) 595-1000,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,9,2.5,3,"$725,000","$3,342",$411/mo,"3,587",House for sale,"$4,500","$708,374"
"House for sale, 12253 N 79th St, Scottsdale, AZ 85260, $1,080,000",,,,,,,,,https://www.zillow.com/homedetails/12253-N-79th-St-Scottsdale-AZ-85260/7862676_zpid/,,,,,,4,6,"$1,080,000",,,"4,522",House for sale,,
"House for sale, 10835 E Mountain Spring Rd, Scottsdale, AZ 85255, $9,500,000",https://www.greatschools.org/school?id=02777&state=AZ,Copper Ridge School,9,"$44,274",https://www.greatschools.org/school?id=00524&state=AZ,Chaparral High School,,$347/mo,https://www.zillow.com/homedetails/10835-E-Mountain-Spring-Rd-Scottsdale-AZ-85255/95128174_zpid/,Allan MacDonald - The MacDonald Team,(480) 220-9724,https://www.greatschools.org/school?id=00524&state=AZ,Chaparral High School,8,8,5,"$9,500,000","$39,937","$5,383/mo","12,289",House for sale,"$8,500/mo","$9,083,034"
"House for sale, 10801 E Happy Valley Rd # 122, Scottsdale, AZ 85255, $2,000,000",https://www.greatschools.org/school?id=00598&state=AZ,Desert Sun Academy,6,"$9,727",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$479/mo,https://www.zillow.com/homedetails/10801-E-Happy-Valley-Rd-122-Scottsdale-AZ-85255/8039937_zpid/,The Luckys,,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,7,5,"$2,000,000","$11,430","$1,133/mo","8,449",House for sale,"$8,500","$1,894,092"
"House for sale, 7432 E Roosevelt St, Scottsdale, AZ 85257, $264,900",https://www.greatschools.org/school?id=01359&state=AZ,Yavapai Elementary School,6,"$1,229",https://www.greatschools.org/school?id=01283&state=AZ,Tonalea Elementary School,3,$0/mo,https://www.zillow.com/homedetails/7432-E-Roosevelt-St-Scottsdale-AZ-85257/7581204_zpid/,Thomas Steinheiser,(602) 912-9000,https://www.greatschools.org/school?id=01283&state=AZ,Tonalea Elementary School,3,1,2,"$264,900",$760,$150/mo,900,House for sale,"$1,390/mo","$262,978"
"House for sale, 8337 E Quarterhorse Trl, Scottsdale, AZ 85258, $1,385,000",https://www.greatschools.org/school?id=00539&state=AZ,Cochise Elementary School,10,"$6,422",https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,8,$18/mo,https://www.zillow.com/homedetails/8337-E-Quarterhorse-Trl-Scottsdale-AZ-85258/7865305_zpid/,Deborah Beede,,https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,9,4,3,"$1,385,000","$5,766",$785/mo,"3,613",House for sale,"$2,600","$1,329,599"
"House for sale, 7705 E Doubletree Ranch Rd UNIT 54, Scottsdale, AZ 85258, $700,000",https://www.greatschools.org/school?id=00539&state=AZ,Cochise Elementary School,10,"$3,461",https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,8,$224/mo,https://www.zillow.com/homedetails/7705-E-Doubletree-Ranch-Rd-UNIT-54-Scottsdale-AZ-85258/7859676_zpid/,Gary Todd,(480) 998-0676,https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,9,2.5,3,"$700,000","$4,901",$397/mo,"2,645",House for sale,"$4,250","$682,636"
"House for sale, 11843 E Desert Trail Rd, Scottsdale, AZ 85259, $1,895,000",https://www.greatschools.org/school?id=00390&state=AZ,Anasazi Elementary School,10,"$8,918",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$156/mo,https://www.zillow.com/homedetails/11843-E-Desert-Trail-Rd-Scottsdale-AZ-85259/60982246_zpid/,Jim Steimer? The Steimer Team,(480) 948-9450,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,5,4,"$1,895,000","$9,965","$1,074/mo","5,295",House for sale,"$8,500/mo","$1,861,754"
"House for sale, 8037 E Via Sierra, Scottsdale, AZ 85258, $1,250,000",https://www.greatschools.org/school?id=00857&state=AZ,Kiva Elementary School,10,"$5,798",https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,$18/mo,https://www.zillow.com/homedetails/8037-E-Via-Sierra-Scottsdale-AZ-85258/7854505_zpid/,Beth Thompson,(480) 776-1555,https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,3,4,"$1,250,000","$4,728",$708/mo,"3,104",House for sale,"$4,250/mo","$1,202,719"
"House for sale, 8058 E Via Bonita, Scottsdale, AZ 85258, $550,000",https://www.greatschools.org/school?id=00857&state=AZ,Kiva Elementary School,10,"$2,571",https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,$18/mo,https://www.zillow.com/homedetails/8058-E-Via-Bonita-Scottsdale-AZ-85258/7859092_zpid/,JoAnn Callaway,(480) 596-5751,https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,7,2,4,"$550,000","$2,837",$312/mo,"2,247",House for sale,"$2,800/mo","$537,777"
"House for sale, 10881 E Sahuaro Dr, Scottsdale, AZ 85259, $425,000",https://www.greatschools.org/school?id=00390&state=AZ,Anasazi Elementary School,9,"$1,972",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$0/mo,https://www.zillow.com/homedetails/10881-E-Sahuaro-Dr-Scottsdale-AZ-85259/8050465_zpid/,Adam Yaron,(480) 994-0800,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,8,2,4,"$425,000","$1,929",$241/mo,"1,760",House for sale,"$2,150","$419,456"
"House for sale, 8199 E Del Plomo Dr, Scottsdale, AZ 85258, $869,000",https://www.greatschools.org/school?id=00539&state=AZ,Cochise Elementary School,10,"$4,036",https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,7,$18/mo,https://www.zillow.com/homedetails/8199-E-Del-Plomo-Dr-Scottsdale-AZ-85258/7867272_zpid/,Sharon Erickson,(480) 315-1240,https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,8,2,4,"$869,000","$3,180",$492/mo,"2,554",House for sale,"$3,450/mo","$852,009"
"House for sale, 11046 E Bent Tree Dr, Scottsdale, AZ 85262, $925,000",https://www.greatschools.org/school?id=00598&state=AZ,Desert Sun Academy,7,"$4,424",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$147/mo,https://www.zillow.com/homedetails/11046-E-Bent-Tree-Dr-Scottsdale-AZ-85262/95088917_zpid/,Isabel Schmidtka Bacon,(480) 443-7400,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,9,2.5,3,"$925,000","$3,938",$524/mo,"2,947",House for sale,"$4,195","$904,598"
"House for sale, 10511 E Skinner Dr, Scottsdale, AZ 85262, $1,497,000",,,,,,,,,https://www.zillow.com/homedetails/10511-E-Skinner-Dr-Scottsdale-AZ-85262/8038168_zpid/,,,,,,6,4,"$1,497,000",,,"4,578",House for sale,,
"House for sale, 5320 N Granite Reef Rd, Scottsdale, AZ 85250, $399,999",https://www.greatschools.org/school?id=01021&state=AZ,Navajo Elementary School,6,"$1,907",https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,$51/mo,https://www.zillow.com/homedetails/5320-N-Granite-Reef-Rd-Scottsdale-AZ-85250/7850322_zpid/,Kunal Khanna,(602) 266-1224,https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,2,3,"$399,999","$1,451",$227/mo,"1,664",House for sale,"$2,200","$394,100"
"House for sale, 27207 N 68th St, Scottsdale, AZ 85266, $1,499,000",https://www.greatschools.org/school?id=00598&state=AZ,Desert Sun Academy,7,"$6,931",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$0/mo,https://www.zillow.com/homedetails/27207-N-68th-St-Scottsdale-AZ-85266/113984013_zpid/,Todd Stengel,(480) 626-1555,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,9,6,5,"$1,499,000",--,$849/mo,"5,104",House for sale,,
"House for sale, 2101 N 70th Pl, Scottsdale, AZ 85257, $515,000",https://www.greatschools.org/school?id=01283&state=AZ,Tonalea Elementary School,3,"$2,390",https://www.greatschools.org/school?id=00552&state=AZ,Coronado High School,,$0/mo,https://www.zillow.com/homedetails/2101-N-70th-Pl-Scottsdale-AZ-85257/7569122_zpid/,Charlie O'Malley,(480) 213-6062,https://www.greatschools.org/school?id=00552&state=AZ,Coronado High School,3,2,4,"$515,000","$1,400",$292/mo,"2,186",House for sale,"$2,250","$507,493"
"House for sale, 11530 E Winchcomb Dr, Scottsdale, AZ 85255, $1,399,000",https://www.greatschools.org/school?id=00574&state=AZ,Desert Canyon Elementary School,10,"$6,599",https://www.greatschools.org/school?id=00575&state=AZ,Desert Canyon Middle School,9,$130/mo,https://www.zillow.com/homedetails/11530-E-Winchcomb-Dr-Scottsdale-AZ-85255/55268342_zpid/,The Luckys,,https://www.greatschools.org/school?id=00575&state=AZ,Desert Canyon Middle School,9,5,4,"$1,399,000","$9,060",$793/mo,"3,908",House for sale,"$4,800/mo","$1,347,133"
