address,elementary_school_link,elementary_school_name,elementary_school_rating,estimated_monthly_cost,high_school_link,high_school_name,high_school_rating,hoa_fees,home_details_link,listing_provider_name,listing_provider_phone,middle_school_link,middle_school_name,middle_school_rating,number_of_bathrooms,number_of_bedrooms,price,property_taxes_last_year,property_taxes_monthly,sqft,type,zestimate_rent_price,zestimate_sell_price
"House for sale, 1238 Schilling Ave, Chicago Heights, IL 60411, $179,900",https://www.greatschools.org/school?id=01530&state=IL,Roosevelt Elementary School,3,"$1,063",https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/1238-Schilling-Ave-Chicago-Heights-IL-60411/4328467_zpid/,Carrie Stultz,(708) 798-1855,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,4,"$179,900","$7,068",$321/mo,"2,273",House for sale,"$1,700","$174,149"
"House for sale, 348 Boston St, Chicago Heights, IL 60411, $100,000",https://www.greatschools.org/school?id=03259&state=IL,Forest Trail Middle School,4,$630,https://www.greatschools.org/school?id=03477&state=IL,Rich East Campus High School,,$0/mo,https://www.zillow.com/homedetails/348-Boston-St-Chicago-Heights-IL-60411/4334510_zpid/,Deborah Watson,(708) 730-1040,https://www.greatschools.org/school?id=03477&state=IL,Rich East Campus High School,2,2,4,"$100,000",$972,$178/mo,916,House for sale,"$1,350/mo","$72,188"
"House for sale, 171 Frederick Dr, Chicago Heights, IL 60411, $157,900",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,6,$933,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,$0/mo,https://www.zillow.com/homedetails/171-Frederick-Dr-Chicago-Heights-IL-60411/4322402_zpid/,Jorge Vega,(312) 444-0030,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,2,4,"$157,900","$1,399",$282/mo,"1,539",House for sale,"$1,600/mo","$155,659"
"House for sale, 323 S Mayfair Pl, Chicago Heights, IL 60411, $159,900",https://www.greatschools.org/school?id=01526&state=IL,Greenbriar Elementary School,3,$945,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/323-S-Mayfair-Pl-Chicago-Heights-IL-60411/4325517_zpid/,Donna Dalke,(312) 973-1771,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$159,900","$3,852",$285/mo,"1,233",House for sale,"$1,595","$159,900"
"House for sale, 192 Strieff Ave, Chicago Heights, IL 60411, $170,000",https://www.greatschools.org/school?id=01526&state=IL,Greenbriar Elementary School,3,"$1,005",https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/192-Strieff-Ave-Chicago-Heights-IL-60411/4325014_zpid/,Karina Aguilar,(773) 581-9600,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,3,"$170,000","$3,582",$303/mo,"1,200",House for sale,"$1,509/mo","$169,969"
"House for sale, 586 Yorktown Rd, Chicago Heights, IL 60411, $154,900",https://www.greatschools.org/school?id=01528&state=IL,Kennedy Elementary School,4,$915,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/586-Yorktown-Rd-Chicago-Heights-IL-60411/4326869_zpid/,Janyth Toye,(773) 451-1200,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$154,900","$3,597",$276/mo,"1,020",House for sale,"$1,500/mo","$153,354"
"House for sale, 504 Union Ave, Chicago Heights, IL 60411, $129,900",https://www.greatschools.org/school?id=02228&state=IL,Longwood Elementary School,3,$768,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,1,$0/mo,https://www.zillow.com/homedetails/504-Union-Ave-Chicago-Heights-IL-60411/4324718_zpid/,Maria Fonseca,(708) 672-4700,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,2,2,3,"$129,900","$2,539",$232/mo,"1,027",House for sale,"$1,400","$127,231"
"House for sale, 53 W Main St, Chicago, IL 60411, $159,900",https://www.greatschools.org/school?id=01532&state=IL,Washington-Mckinley Elementary School,3,$945,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/53-W-Main-St-Chicago-IL-60411/4333177_zpid/,Todd McCain,(708) 320-0002,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,3,8,"$159,900","$5,289",$285/mo,"2,318",House for sale,"$1,950/mo","$157,172"
"House for sale, 198 Frederick Dr, Chicago Heights, IL 60411, $114,900",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,7,$724,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,$0/mo,https://www.zillow.com/homedetails/198-Frederick-Dr-Chicago-Heights-IL-60411/4322408_zpid/,Dennis Brim,(708) 891-5380,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,2,4,"$114,900","$3,438",$205/mo,"1,026",House for sale,"$1,500/mo",
"House for sale, 527 Normal Ave, Chicago Heights, IL 60411, $117,900",https://www.greatschools.org/school?id=02228&state=IL,Longwood Elementary School,3,$743,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,1,$0/mo,https://www.zillow.com/homedetails/527-Normal-Ave-Chicago-Heights-IL-60411/4324823_zpid/,Tamara Radkay,(815) 469-7449,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,2,3,5,"$117,900",$973,$210/mo,"1,056",House for sale,"$1,550","$117,581"
"House for sale, 114 Judith Ln, Chicago Heights, IL 60411, $122,999",,,,,,,,,https://www.zillow.com/homedetails/114-Judith-Ln-Chicago-Heights-IL-60411/4322261_zpid/,,,,,,2,3,"$122,999",,,"1,171",House for sale,,
"House for sale, 1218 Park Ave, Chicago Heights, IL 60411, $119,000",https://www.greatschools.org/school?id=01530&state=IL,Roosevelt Elementary School,3,$750,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/1218-Park-Ave-Chicago-Heights-IL-60411/4328740_zpid/,Caroline Odom,(773) 418-5797,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,4,"$119,000",--,$212/mo,"1,600",House for sale,"$1,300","$118,997"
"House for sale, 803 Sangamon St, Chicago, IL 60411, $155,000",https://www.greatschools.org/school?id=01530&state=IL,Roosevelt Elementary School,3,$916,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/803-Sangamon-St-Chicago-IL-60411/4326124_zpid/,Lenny Feil,(708) 371-1910,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$155,000","$4,673",$276/mo,"1,575",House for sale,"$1,500","$139,758"
"Apartment for sale, 187 E 24th St, Chicago Heights, IL 60411, $173,500",https://www.greatschools.org/school?id=01525&state=IL,Garfield Elementary School,3,"$1,025",https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/187-E-24th-St-Chicago-Heights-IL-60411/2134288540_zpid/,Brian Marton,(708) 429-5300,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,4,9,"$173,500",,$309/mo,--,Apartment for sale,"$1,750","$169,936"
"House for sale, 490 W 12th St, Chicago, IL 60411, $154,900",https://www.greatschools.org/school?id=01530&state=IL,Roosevelt Elementary School,3,$915,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/490-W-12th-St-Chicago-IL-60411/4327527_zpid/,jeff mrozek,(708) 754-3572,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$154,900","$5,117",$276/mo,"1,200",House for sale,"$1,400/mo","$55,389"
"House for sale, 291 W 10th St, Chicago, IL 60411, $159,900",,,,,,,,,https://www.zillow.com/homedetails/291-W-10th-St-Chicago-IL-60411/4325784_zpid/,,,,,,3,3,"$159,900",,,"1,231",House for sale,,
"House for sale, 721 Peoria St, Chicago Heights, IL 60411, $119,900",https://www.greatschools.org/school?id=01526&state=IL,Greenbriar Elementary School,3,$755,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/721-Peoria-St-Chicago-Heights-IL-60411/4326109_zpid/,Jeff Binkowski,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,3,"$119,900","$4,225",$214/mo,"1,200",House for sale,"$1,500","$118,852"
"House for sale, 11 Charing Cross Rd, Chicago Heights, IL 60411, $119,000",https://www.greatschools.org/school?id=01526&state=IL,Greenbriar Elementary School,3,$750,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/11-Charing-Cross-Rd-Chicago-Heights-IL-60411/4325346_zpid/,Amy Izzo,(708) 320-0002,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,3,"$119,000",$857,$212/mo,"1,074",House for sale,"$1,550/mo","$119,004"
"House for sale, 1212 Orchard Ave, Chicago Heights, IL 60411, $159,500",https://www.greatschools.org/school?id=01530&state=IL,Roosevelt Elementary School,3,$943,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/1212-Orchard-Ave-Chicago-Heights-IL-60411/4327368_zpid/,Donna Dalke,(312) 973-1771,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,3,"$159,500","$2,589",$284/mo,"1,386",House for sale,"$1,695","$159,585"
"House for sale, 593 Hickory St, Chicago Heights, IL 60411, $144,000",https://www.greatschools.org/school?id=01533&state=IL,Wilson Elementary School,3,$851,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/593-Hickory-St-Chicago-Heights-IL-60411/4327814_zpid/,Naja Morris,(312) 337-0200,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$144,000","$3,448",$257/mo,"1,100",House for sale,"$1,575","$141,419"
"House for sale, 145 Grace Ln, Chicago Heights, IL 60411, $126,000",,,,,,,,,https://www.zillow.com/homedetails/145-Grace-Ln-Chicago-Heights-IL-60411/4322718_zpid/,,,,,,1,3,"$126,000",,,"1,148",House for sale,,
"House for sale, 333 Avonelle Dr, Chicago Heights, IL 60411, $169,900",,,,"$1,004",,,,$0/mo,https://www.zillow.com/homedetails/333-Avonelle-Dr-Chicago-Heights-IL-60411/4325553_zpid/,Donna Dalke,(312) 973-1771,,,,3,3,"$169,900","$3,529",$303/mo,"1,344",House for sale,"$1,675","$169,896"
"House for sale, 742 Travers Ave, Chicago Heights, IL 60411, $164,900",https://www.greatschools.org/school?id=01528&state=IL,Kennedy Elementary School,4,$975,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/742-Travers-Ave-Chicago-Heights-IL-60411/4326815_zpid/,Lisa Pascarella,(708) 672-4700,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$164,900","$1,835",$294/mo,"1,196",House for sale,"$1,649","$164,901"
"Pre-foreclosure, 812 Macarthur Dr, Chicago, IL 60411, Estimate $135,535",,,,,,,,,https://www.zillow.com/homedetails/812-Macarthur-Dr-Chicago-IL-60411/4327109_zpid/,,,,,,2,3," $135,535",,,"1,500",Pre-foreclosure,,
"Apartment for rent, Boston St, Chicago Heights, IL 60411, $1,400/mo",,,,,,,,,https://www.zillow.com/homedetails/Boston-St-Chicago-Heights-IL-60411/2081949462_zpid/,,,,,,1.5,4,"$1,400/mo",,,"1,937",Apartment for rent,,
"House for rent, Boston St, Chicago Heights, IL 60411, $1,400/mo",,,,,,,,,https://www.zillow.com/homedetails/Boston-St-Chicago-Heights-IL-60411/2081930481_zpid/,,,,,,1.5,4,"$1,400/mo",,,"1,934",House for rent,,
"Auction, 249 E Joe Orr Rd, Chicago Heights, IL 60411, Price not available",https://www.greatschools.org/school?id=02228&state=IL,Longwood Elementary School,3,,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,1,,https://www.zillow.com/homedetails/249-E-Joe-Orr-Rd-Chicago-Heights-IL-60411/4324757_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,2,1,2,$--,$871,,805,Auction,"$1,300",
"Apartment for rent, E 14th Pl, Chicago, IL 60605, $1,971/mo",https://www.greatschools.org/school?id=01532&state=IL,Washington-Mckinley Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/E-14th-Pl-Chicago-IL-60605/2081627370_zpid/,Meri Kerashili,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,1,"$1,971/mo",,,750,Apartment for rent,,
"Apartment for rent, E 14th Pl, Chicago, IL 60605, $1,670/mo",https://www.greatschools.org/school?id=01532&state=IL,Washington-Mckinley Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/E-14th-Pl-Chicago-IL-60605/2081627346_zpid/,Meri Kerashili,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,Studio,"$1,670/mo",,,512,Apartment for rent,,
"Pre-foreclosure, 231 W Normandy Dr, Chicago Heights, IL 60411, Estimate $117,641",,,,,,,,,https://www.zillow.com/homedetails/231-W-Normandy-Dr-Chicago-Heights-IL-60411/4322679_zpid/,,,,,,1,3," $117,641",,,"1,158",Pre-foreclosure,,
"Apartment for rent, Broadway Ave, Chicago Heights, IL 60411, $900/mo",,,,,,,,,https://www.zillow.com/homedetails/Broadway-Ave-Chicago-Heights-IL-60411/2082071877_zpid/,,,,,,1,2,$900/mo,,,--,Apartment for rent,,
"Auction, 174 Martin Ln, Chicago Heights, IL 60411, $84,776",https://www.greatschools.org/school?id=01527&state=IL,Jefferson Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/174-Martin-Ln-Chicago-Heights-IL-60411/4324972_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$84,776","$3,057",,"1,132",Auction,"$1,500","$112,698"
"Pre-foreclosure, 400 Coolidge St S, Chicago Heights, IL 60411, Estimate $113,945",https://www.greatschools.org/school?id=01526&state=IL,Greenbriar Elementary School,3,$718,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/400-Coolidge-St-S-Chicago-Heights-IL-60411/4325418_zpid/,,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,3," $113,945","$2,917",$203/mo,"1,074",Pre-foreclosure,,"$113,945"
"Auction, 7 E Glengate Ave, Chicago Heights, IL 60411, Price not available",https://www.greatschools.org/school?id=01526&state=IL,Greenbriar Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/7-E-Glengate-Ave-Chicago-Heights-IL-60411/4325282_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,3,$--,"$3,528",,"1,090",Auction,"$1,550","$121,461"
"Auction, 329 Serena Dr, Chicago Heights, IL 60411, Price not available",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,7,,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,,https://www.zillow.com/homedetails/329-Serena-Dr-Chicago-Heights-IL-60411/4321633_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,1,3,$--,"$8,206",,"1,071",Auction,"$1,700","$136,163"
"Apartment for rent, GRAND PLAZA, UNIT 10, $2,377/mo",,,,,,,,,https://www.zillow.com/homedetails/540-N-State-St-APT-1110-Chicago-IL-60654/2105955064_zpid/,,,,,,1,1,"$2,377/mo",,,900,Apartment for rent,,
"Apartment for sale, 148 E 22nd St, Chicago Heights, IL 60411, $99,000",https://www.greatschools.org/school?id=01525&state=IL,Garfield Elementary School,3,$624,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/148-E-22nd-St-Chicago-Heights-IL-60411/2112896182_zpid/,Andretta K Robinson,(708) 857-1500,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,4,"$99,000",,$177/mo,--,Apartment for sale,"$1,500","$94,587"
"House for rent, 65 E Main St, Chicago Heights, IL 60411, $900/mo",https://www.greatschools.org/school?id=01532&state=IL,Washington-Mckinley Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/65-E-Main-St-Chicago-Heights-IL-60411/2081578641_zpid/,Edward Hickey,(855) 351-0683,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,2,$900/mo,,,"1,000",House for rent,,
"Apartment for rent, 2723 W 23rd St, Chicago, IL 60608, $1,250/mo",,,,,,,,,https://www.zillow.com/homedetails/2723-W-23rd-St-Chicago-IL-60608/2082528540_zpid/,,,,,,1,3,"$1,250/mo",,,"1,200",Apartment for rent,,
"Apartment for rent, N Halsted St, Chicago Heights, IL 60411, $1,644/mo",,,,,,,,,https://www.zillow.com/homedetails/N-Halsted-St-Chicago-Heights-IL-60411/2081572797_zpid/,,,,,,1,Studio,"$1,644/mo",,,481,Apartment for rent,,
"Auction, 21 Holbrook Cir, Chicago Heights, IL 60411, $245,247",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,7,,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,,https://www.zillow.com/homedetails/21-Holbrook-Cir-Chicago-Heights-IL-60411/4321753_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,3,5,"$245,247","$10,185",,"3,332",Auction,"$2,500/mo",
"House for rent, Ingrid Ln, Chicago Heights, IL 60411, $1,400/mo",https://www.greatschools.org/school?id=01533&state=IL,Wilson Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/Ingrid-Ln-Chicago-Heights-IL-60411/2081531623_zpid/,Nori James,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,4,"$1,400/mo",,,--,House for rent,,
"Apartment for rent, 77 W 23rd St APT 1A, Chicago Heights, IL 60411, $585/mo",https://www.greatschools.org/school?id=01532&state=IL,Washington-Mckinley Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/77-W-23rd-St-APT-1A-Chicago-Heights-IL-60411/2081531401_zpid/,(312) 933-1721,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,Studio,$585/mo,,,450,Apartment for rent,,
"Auction, 1411 Center Ave, Chicago Heights, IL 60411, Price not available",https://www.greatschools.org/school?id=01527&state=IL,Jefferson Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/1411-Center-Ave-Chicago-Heights-IL-60411/4329889_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,6,3,$--,$773,,"3,568",Auction,"$1,650/mo",
"Auction, 301 8th St, Chicago Heights, IL 60411, Price not available",https://www.greatschools.org/school?id=01528&state=IL,Kennedy Elementary School,4,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/301-8th-St-Chicago-Heights-IL-60411/4327087_zpid/,Customer Service,(866) 539-4173,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,2,$--,"$3,031",,"1,042",Auction,"$1,325","$97,242"
"House for sale, 108 E 25th St, Chicago Heights, IL 60411, $59,900",https://www.greatschools.org/school?id=01525&state=IL,Garfield Elementary School,3,$377,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/108-E-25th-St-Chicago-Heights-IL-60411/4332848_zpid/,Maria Zambrano,(815) 469-7449,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,3,"$59,900",$517,$107/mo,"1,078",House for sale,"$1,500",
"Auction, 61 W 21st St, Chicago Heights, IL 60411, Price not available",https://www.greatschools.org/school?id=01532&state=IL,Washington-Mckinley Elementary School,3,,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,,https://www.zillow.com/homedetails/61-W-21st-St-Chicago-Heights-IL-60411/4333241_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,1,2,$--,"$2,082",,850,Auction,"$1,250",
"Apartment for rent, 1938-1948 W Lawrence # 3BD2BR, Chicago, IL 60640, $2,008/mo",https://www.greatschools.org/school?id=03259&state=IL,Forest Trail Middle School,4,,https://www.greatschools.org/school?id=03477&state=IL,Rich East Campus High School,,,https://www.zillow.com/homedetails/1938-1948-W-Lawrence-3BD2BR-Chicago-IL-60640/2081501179_zpid/,TAS,(773) 404-9900,https://www.greatschools.org/school?id=03477&state=IL,Rich East Campus High School,2,2,3,"$2,008/mo",,,--,Apartment for rent,,
"Auction, 160 Joyce Ln, Chicago Heights, IL 60411, Price not available",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,7,,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,,https://www.zillow.com/homedetails/160-Joyce-Ln-Chicago-Heights-IL-60411/4322749_zpid/,auction com,(800) 793-6107,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,--,3,$--,"$5,141",,"1,265",Auction,"$1,550","$140,014"
"Apartment for rent, 425 Hickory St UNIT 1, Chicago Heights, IL 60411, $1,000/mo",,,,,,,,,https://www.zillow.com/homedetails/425-Hickory-St-UNIT-1-Chicago-Heights-IL-60411/2128126862_zpid/,,,,,,1,3,"$1,000/mo",,,"1,200",Apartment for rent,,
"Townhouse for rent, 1242 W End Ave, Chicago Heights, IL 60411, $1,200/mo",,,,,,,,,https://www.zillow.com/homedetails/1242-W-End-Ave-Chicago-Heights-IL-60411/2082231864_zpid/,,,,,,1,3,"$1,200/mo",,,"1,200",Townhouse for rent,,
